,institutionsnummer,karakter,soc_ref,beliggenhedskommunenr,lat,lon,postnr,student_count,navn,institutionstype2,institutionstype3,coordinates,postnavn,komnavn,year,salgspris,disindk,langledig,kriminelitet,lavindk,skilsmisser
0,101001,7.6,7.5,101,55.6729159978565,12.575738616700999,1552,521.0,Den Classenske Legatskole,Grundskoler,Folkeskoler,"(55.6729159978565, 12.575738616700999)",København V,Københavns Kommune,2015,,209991.0,1.2249999999999999,6.4,40.6,20.8
1,101003,7.3,7.5,101,55.69057241088161,12.5862454099148,1350,533.0,Nyboder Skole,Grundskoler,Folkeskoler,"(55.69057241088161, 12.5862454099148)",København K,Københavns Kommune,2015,,209991.0,1.2249999999999999,6.4,40.6,20.8
2,101005,7.4,7.5,101,55.686493209469496,12.5832427650795,1307,478.0,Sølvgades Skole,Grundskoler,Folkeskoler,"(55.686493209469496, 12.5832427650795)",København K,Københavns Kommune,2015,,209991.0,1.2249999999999999,6.4,40.6,20.8
3,101007,5.6,6.1,101,55.6902881167035,12.544704464126301,2200,746.0,Nørrebro Park Skole,Grundskoler,Folkeskoler,"(55.6902881167035, 12.544704464126301)",København N,Københavns Kommune,2015,,209991.0,1.2249999999999999,6.4,40.6,20.8
4,101008,5.3,5.6,101,55.68782564186901,12.550209992394901,2200,500.0,Blågård Skole,Grundskoler,Folkeskoler,"(55.687825641869004, 12.550209992394901)",København N,Københavns Kommune,2015,,209991.0,1.2249999999999999,6.4,40.6,20.8
5,101034,4.6,5.1,101,55.69902508083121,12.5495949937569,2200,544.0,Rådmandsgades Skole,Grundskoler,Folkeskoler,"(55.699025080831206, 12.5495949937569)",København N,Københavns Kommune,2015,,209991.0,1.2249999999999999,6.4,40.6,20.8
6,101035,6.9,7.0,101,55.69318510381621,12.5531439907036,2200,938.0,Guldberg Skole,Grundskoler,Folkeskoler,"(55.693185103816205, 12.5531439907036)",København N,Københavns Kommune,2015,,209991.0,1.2249999999999999,6.4,40.6,20.8
7,101082,5.3,6.0,101,55.68824371888821,12.5593533207393,2200,306.0,Sankt Ansgars Skole,Grundskoler,Friskoler og private grundskoler,"(55.68824371888821, 12.5593533207393)",København N,Københavns Kommune,2015,,209991.0,1.2249999999999999,6.4,40.6,20.8
8,101149,8.1,6.6,101,55.69039923,12.56165569,2200,415.0,DIA Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.69039923, 12.56165569)",København N,Københavns Kommune,2015,,209991.0,1.2249999999999999,6.4,40.6,20.8
9,101170,7.1,7.6,101,55.6925081,12.55873945,2200,147.0,Det Frie Gymnasiums Grundskole,Grundskoler,Friskoler og private grundskoler,"(55.6925081, 12.55873945)",København N,Københavns Kommune,2015,,209991.0,1.2249999999999999,6.4,40.6,20.8
10,101584,6.8,6.1,101,55.704287539637896,12.5516780889201,2200,414.0,Iqra Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.704287539637896, 12.5516780889201)",København N,Københavns Kommune,2015,,209991.0,1.2249999999999999,6.4,40.6,20.8
11,101011,6.2,6.6,101,55.70438634068071,12.508446326404,2700,819.0,Bellahøj Skole,Grundskoler,Folkeskoler,"(55.704386340680706, 12.508446326404)",Brønshøj,Københavns Kommune,2015,27271.0,209991.0,1.2249999999999999,6.4,40.6,20.8
12,101012,6.7,7.3,101,55.704169199945405,12.4947869758271,2700,740.0,Brønshøj Skole,Grundskoler,Folkeskoler,"(55.704169199945405, 12.4947869758271)",Brønshøj,Københavns Kommune,2015,27271.0,209991.0,1.2249999999999999,6.4,40.6,20.8
13,101017,6.6,6.7,101,55.7060885641584,12.473761688803696,2700,636.0,Husum Skole,Grundskoler,Folkeskoler,"(55.7060885641584, 12.473761688803698)",Brønshøj,Københavns Kommune,2015,27271.0,209991.0,1.2249999999999999,6.4,40.6,20.8
14,101021,5.5,5.9,101,55.7095599787281,12.4693256156746,2700,676.0,Korsager Skole,Grundskoler,Folkeskoler,"(55.7095599787281, 12.4693256156746)",Brønshøj,Københavns Kommune,2015,27271.0,209991.0,1.2249999999999999,6.4,40.6,20.8
