,objectid,afstem_navn1,afstem_navn2,kommunekod,kommunenavn,opst_kreds,postnr,time_stamp,votes,left_votes,right_votes,independent_votes,blank_votes,invalid_votes,left_share,right_share,independent_share,institutionsnummer,skole_navn,institutionstype2,institutionstype3,karakter,karakter_soc_ref,salgspris,disindk,kriminelitet,lavindk,skilsmisser,andel_indv
0,1285591,"Alt-i-et-Huset, Aktivitetstorvet",Klinkby,665,Lemvig Kommune,Struerkredsen,7620,10:44 06-06-2019,1416.0,537.0,879.0,0.0,9,3,0.3792372881355932,0.6207627118644068,0.0,665002,Christinelystskolen,Grundskoler,Folkeskoler,7.2,6.8,6057.5,217221,3.0,14.8,10.6,3.653696400311488
1,1285619,Ramme Hallen,Ramme,665,Lemvig Kommune,Struerkredsen,7620,10:48 06-06-2019,1276.0,533.0,743.0,0.0,8,3,0.4177115987460815,0.5822884012539185,0.0,665002,Christinelystskolen,Grundskoler,Folkeskoler,7.2,6.8,6057.5,217221,3.0,14.8,10.6,3.653696400311488
2,1285631,Lemvig Idræts- og Kulturcenter,Lemvig,665,Lemvig Kommune,Struerkredsen,7620,11:39 06-06-2019,4412.0,1822.0,2590.0,0.0,29,27,0.4129646418857661,0.5870353581142339,0.0,665002,Christinelystskolen,Grundskoler,Folkeskoler,7.2,6.8,6057.5,217221,3.0,14.8,10.6,3.653696400311488
3,1285601,Harboøre Centeret,Harboøre,665,Lemvig Kommune,Struerkredsen,7673,10:19 06-06-2019,1162.0,398.0,764.0,0.0,4,2,0.342512908777969,0.657487091222031,0.0,673001,Harboøre Skole og Børnecenter,Grundskoler,Folkeskoler,7.0,6.8,7482.0,217221,3.0,14.8,10.6,3.653696400311488
4,1285615,"Bøvling Friskole, Gymnastiksalen",Bøvling,665,Lemvig Kommune,Struerkredsen,7650,09:51 06-06-2019,826.0,254.0,572.0,0.0,9,2,0.3075060532687651,0.6924939467312349,0.0,665015,Bøvling Fri- og Idrætsefterskole,Grundskoler,Friskoler og private grundskoler,6.2,6.4,5225.0,217221,3.0,14.8,10.6,3.653696400311488
5,1285617,"Tangsø Centret, Mødelokalet",Flynder,665,Lemvig Kommune,Struerkredsen,7650,10:31 06-06-2019,898.0,228.0,670.0,0.0,6,2,0.25389755011135856,0.7461024498886414,0.0,665015,Bøvling Fri- og Idrætsefterskole,Grundskoler,Friskoler og private grundskoler,6.2,6.4,5225.0,217221,3.0,14.8,10.6,3.653696400311488
6,1285621,Thyborøn Fritidscenter,Thyborøn,665,Lemvig Kommune,Struerkredsen,7680,11:01 06-06-2019,1218.0,351.0,867.0,0.0,8,3,0.2881773399014778,0.7118226600985221,0.0,673002,Thyborøn Skole,Grundskoler,Folkeskoler,6.6,6.7,4988.333333333333,217221,3.0,14.8,10.6,3.653696400311488
7,1462446,"Nørre Nissum Skole, Blok A",Nørre Nissum,665,Lemvig Kommune,Struerkredsen,7620,11:42 06-06-2019,1610.0,671.0,939.0,0.0,11,5,0.41677018633540375,0.5832298136645963,0.0,665012,Nørre Nissum Skole- og Børneunivers,Grundskoler,Folkeskoler,6.8,6.8,6057.5,217221,3.0,14.8,10.6,3.653696400311488
8,1295999,Vestre Skole - Multisalen,Middelfart V,410,Middelfart Kommune,Middelfartkredsen,5500,10:07 06-06-2019,4450.0,2446.0,2004.0,0.0,39,20,0.5496629213483146,0.4503370786516854,0.0,445010,Fænøsund Friskole,Grundskoler,Friskoler og private grundskoler,6.0,6.4,13502.25,235139,4.8,13.6,12.3,4.470781127958842
9,1296001,Hyllehøjskolen - Hallen,Hyllehøj,410,Middelfart Kommune,Middelfartkredsen,5500,11:57 06-06-2019,1886.0,925.0,961.0,0.0,21,4,0.49045599151643693,0.5095440084835631,0.0,445002,Hyllehøjskolen,Grundskoler,Folkeskoler,6.4,6.6,13502.25,235139,4.8,13.6,12.3,4.470781127958842
