,municipality,left_votes,right_votes,left_share,right_share,kom_kode
0,Aabenraa Kommune,14510,22019,0.39721864819732267,0.6027813518026773,580
1,Aalborg Kommune,72519,57561,0.5574953874538745,0.44250461254612544,851
2,Aarhus Kommune,121644,82115,0.5969993963456829,0.4030006036543171,751
3,Albertslund Kommune,10481,5123,0.6716867469879518,0.32831325301204817,165
4,Allerød Kommune,6383,9244,0.408459717156204,0.591540282843796,201
5,Assens Kommune,13704,13390,0.5057946408798996,0.4942053591201004,420
6,Ballerup Kommune,17128,12894,0.570514955699154,0.42948504430084605,151
7,Billund Kommune,5415,11174,0.32642112243052623,0.6735788775694738,530
8,Bornholm Kommune,15269,12033,0.5592630576514541,0.4407369423485459,400
9,Brøndby Kommune,11571,8179,0.585873417721519,0.41412658227848104,153
10,Brønderslev Kommune,11418,11830,0.4911390227116311,0.5088609772883689,810
11,Dragør Kommune,3339,5710,0.3689910487346668,0.6310089512653332,155
12,Egedal Kommune,11450,15654,0.4224468713105077,0.5775531286894924,240
13,Esbjerg Kommune,34387,38461,0.4720376674719965,0.5279623325280035,561
14,Faaborg-Midtfyn Kommune,16900,16975,0.4988929889298893,0.5011070110701107,430
15,Fanø Kommune,1065,1169,0.4767233661593554,0.5232766338406446,563
16,Favrskov Kommune,13856,16093,0.4626531770676817,0.5373468229323183,710
17,Faxe Kommune,10229,12770,0.4447584677594678,0.5552415322405322,320
18,Fredensborg Kommune,10460,14116,0.4256184895833333,0.5743815104166666,210
19,Fredericia Kommune,15697,16346,0.4898729831788534,0.5101270168211466,607
20,Frederiksberg Kommune,37780,27179,0.5815976231161194,0.4184023768838806,147
21,Frederikshavn Kommune,20110,20285,0.497833890332962,0.502166109667038,813
22,Frederikssund Kommune,12833,15925,0.4462410459698171,0.5537589540301829,250
23,Furesø Kommune,11605,12437,0.4826969470094002,0.5173030529905998,190
24,Gentofte Kommune,16570,28446,0.3680913452994491,0.6319086547005509,157
25,Gladsaxe Kommune,22894,16873,0.5757034727286443,0.42429652727135564,159
26,Glostrup Kommune,7020,6702,0.5115872321818977,0.48841276781810233,161
27,Greve Kommune,11529,18938,0.3784094265927069,0.6215905734072932,253
28,Gribskov Kommune,10513,16570,0.3881770852564339,0.6118229147435661,270
29,Guldborgsund Kommune,22012,19317,0.5326042246364538,0.46739577536354615,376
30,Haderslev Kommune,15259,20552,0.42609812627404986,0.5739018737259501,510
31,Halsnæs Kommune,9870,10016,0.4963290757316705,0.5036709242683295,260
32,Hedensted Kommune,10790,18769,0.3650326465712643,0.6349673534287358,766
33,Helsingør Kommune,19087,19347,0.4966175781859812,0.5033824218140188,217
34,Herlev Kommune,9568,7032,0.5763855421686747,0.4236144578313253,163
35,Herning Kommune,19785,34998,0.3611521822463173,0.6388478177536827,657
36,Hillerød Kommune,14252,16277,0.46683481280094336,0.5331651871990566,219
