,KOMKODE,YEAR,DISINDK,KRIMINELITET,LAVINDK,SKILSMISSER,ANDEL_INDV
0,101,2011,189182,4.8,36.7,21.8,14.729179800629325
241,185,2011,209500,3.5,13.8,12.8,7.084601636034233
402,147,2011,224754,1.6,24.5,15.6,9.12606653196891
516,161,2011,202928,5.3,12.5,15.6,11.017097100825177
517,153,2011,185604,7.9,23.4,12.4,22.892584454618273
518,175,2011,196608,3.5,15.7,13.3,12.146240904312688
520,165,2011,182828,6.2,28.7,13.2,23.00221426128283
521,187,2011,225587,3.0,16.2,14.6,14.124157429275778
522,169,2011,198826,3.7,20.9,13.1,18.19999164874627
523,183,2011,181875,5.8,26.5,16.0,29.489456556722416
526,253,2011,222654,3.9,12.3,11.7,8.267755544778026
527,265,2011,219158,3.3,15.8,12.5,5.856785765021294
529,167,2011,196751,4.2,17.1,12.4,12.099858268891264
534,269,2011,234748,2.3,10.7,11.1,3.448152944950749
540,151,2011,202452,3.5,14.5,10.8,10.346911451359983
541,159,2011,213516,2.5,17.7,12.2,10.833144450889924
542,163,2011,203029,5.5,13.1,13.5,11.807528075092645
547,240,2011,232521,1.7,7.2,9.3,4.278231895869789
552,155,2011,261933,1.9,13.2,7.8,3.0078473499262603
554,157,2011,339165,2.2,19.0,13.2,6.4077029840388615
556,173,2011,263333,2.6,13.8,11.2,6.467880369026013
557,230,2011,316723,2.1,13.2,12.0,5.60693377241127
570,190,2011,254231,2.0,13.0,11.3,8.155630133587536
577,223,2011,314966,1.7,12.8,11.1,4.798885314427392
580,210,2011,235433,2.8,14.5,14.3,9.469240812808193
586,217,2011,213742,6.0,17.7,15.4,7.640094197407127
593,270,2011,210245,2.7,12.5,14.0,2.587834472070698
597,219,2011,223169,4.3,11.7,13.4,6.318729907718557
605,260,2011,191281,3.2,12.7,17.0,5.646082326636318
615,201,2011,261760,3.7,8.5,9.1,3.951822240681134
644,250,2011,206586,2.7,11.8,13.6,4.094025575678296
653,400,2011,174636,3.7,16.6,15.1,1.8142361632932775
659,411,2011,0,0.0,0.0,0.0,0.0
665,350,2011,217508,1.4,11.1,11.1,2.1250209798034425
672,259,2011,202267,3.6,12.8,13.1,6.71630710105686
673,316,2011,195562,4.0,15.8,13.7,5.637227571769259
674,320,2011,191067,3.2,13.0,13.6,2.502092762588499
675,329,2011,197182,4.9,14.5,14.8,7.568908238649293
676,340,2011,195094,2.4,12.3,16.0,2.813781161671462
677,370,2011,192912,2.7,15.1,14.2,4.654215884940443
691,330,2011,186917,4.2,17.9,12.3,6.841252211646498
695,326,2011,189511,3.5,16.0,15.2,3.4055411502888995
752,306,2011,180222,3.4,17.2,10.9,2.2885283893395134
771,336,2011,198010,2.9,12.2,14.2,2.1201696135690855
802,390,2011,181859,3.2,19.8,14.2,2.597134794877361
818,376,2011,173408,5.6,17.8,12.9,3.312675965828992
830,360,2011,168257,5.1,22.0,13.2,4.045023438351684
851,461,2011,186960,6.7,21.1,13.6,10.172055481792084
860,480,2011,184924,3.1,13.0,13.3,1.979811688862499
861,440,2011,190155,2.1,11.2,9.8,2.4922872816484682
873,410,2011,197333,4.5,10.6,12.9,2.980853493374406
881,420,2011,184591,2.8,11.0,14.9,1.6985431610339168
886,450,2011,185598,5.9,11.5,13.1,4.355306766464217
887,430,2011,183691,3.7,11.9,10.2,2.3081827226799843
908,479,2011,189217,4.3,15.1,14.3,4.459645954372753
933,482,2011,165598,2.8,20.9,12.9,1.793476206674982
938,492,2011,174333,0.9,14.9,8.2,1.740797834342219
942,621,2011,198340,4.2,14.2,13.7,6.078189761398006
944,630,2011,201780,4.0,15.2,13.3,5.942378486231811
949,510,2011,182598,3.8,15.9,11.9,3.923044713889903
958,580,2011,184117,6.1,18.4,13.2,4.332635983263598
961,550,2011,173996,4.8,21.7,12.4,2.864037594462437
965,540,2011,184455,4.9,15.2,12.0,5.478728811613974
991,575,2011,181892,3.6,14.7,13.9,3.074521633898662
994,530,2011,195230,4.0,11.6,12.4,3.664327396163088
1002,561,2011,192786,6.4,16.5,13.3,5.387091383041297
1005,573,2011,188050,3.3,15.7,10.0,2.978328142618008
1015,563,2011,215419,2.7,10.3,14.6,2.28841827631681
1030,760,2011,191423,3.0,13.4,10.9,2.968190880553247
1047,657,2011,199171,3.0,15.0,11.8,4.995072946552371
1057,661,2011,195009,4.6,14.5,12.1,4.125861285019761
1058,665,2011,189387,3.5,15.1,7.2,1.91641680031611
1060,607,2011,191378,5.0,13.2,12.4,6.268225207486977
1064,766,2011,194684,2.3,11.7,10.9,2.3879576149737263
1093,756,2011,190432,3.5,14.7,11.2,5.391610587431273
1100,740,2011,196924,3.3,12.9,12.6,3.6039852866494018
1114,791,2011,194133,2.9,14.6,12.8,3.4305967380773823
1120,671,2011,188350,3.0,16.4,11.5,3.835323271006984
1138,787,2011,181162,3.6,17.9,10.7,2.6074462006180203
1149,779,2011,183229,3.1,14.9,10.3,3.0205074912136864
1161,773,2011,174164,2.9,19.7,8.8,2.337219022849712
1167,751,2011,196346,5.3,19.5,13.3,10.34434095399379
1177,727,2011,204311,2.6,11.2,13.9,2.9382441584634953
1179,741,2011,178054,2.8,23.2,10.5,1.2289280658859865
1188,746,2011,217897,2.5,8.2,12.3,2.8428527003213433
1190,710,2011,204412,3.1,8.2,12.3,2.013479942335211
1196,706,2011,195670,2.2,13.5,12.1,2.603456116416553
1200,707,2011,180328,4.4,20.2,13.5,2.9600690441210378
1241,615,2011,193460,5.6,14.7,14.0,5.926715378570977
1286,730,2011,185608,5.2,16.6,12.9,4.266145019077323
1306,846,2011,184920,3.4,15.7,13.0,2.7944510354386667
1312,851,2011,187797,4.4,16.6,12.1,5.097634247089748
1316,840,2011,198058,1.9,12.8,11.7,2.3083364266537756
1318,820,2011,177831,3.3,17.4,11.9,2.4909264312395685
1327,813,2011,185770,3.3,14.8,13.1,2.605485789552852
1329,810,2011,180932,3.9,16.4,11.7,2.425237562884293
1341,849,2011,185213,3.1,16.5,12.6,2.1758505773851042
1355,860,2011,183635,3.6,20.3,12.1,3.0342382221419215
1411,825,2011,176809,3.1,18.5,15.6,0.30959752321981426
