,KOMKODE,YEAR,DISINDK,KRIMINELITET,LAVINDK,LANGLEDIG,SKILSMISSER,ANDEL_INDV
2841,101,2019,228338,8.8,44.9,0.7583333333333333,18.2,15.265994309928374
3082,185,2019,245993,6.1,19.4,0.5416666666666666,13.4,9.639345787328555
3243,147,2019,276683,3.4,28.0,0.7083333333333334,15.6,10.257425077596919
3361,161,2019,232928,9.1,22.0,0.6666666666666666,11.6,16.140400801164535
3362,165,2019,208399,9.0,33.2,0.9166666666666666,13.4,25.001800633823105
3363,153,2019,211029,10.9,35.4,1.1916666666666664,16.4,28.026856498009185
3365,167,2019,229211,5.7,24.6,0.5749999999999998,13.0,15.673518222521334
3366,175,2019,232107,4.7,23.8,0.9250000000000003,11.5,16.1038735775304
3369,187,2019,255657,3.2,18.7,0.48333333333333334,15.1,21.74872410687481
3370,169,2019,225609,7.9,30.4,0.7833333333333333,14.7,23.09693857474521
3371,183,2019,205800,6.9,30.9,1.1583333333333332,13.6,33.62152509337195
3374,253,2019,259348,3.2,18.8,0.39999999999999997,13.5,11.232873990322997
3375,265,2019,260890,5.3,18.3,0.525,11.2,6.98852281162565
3382,269,2019,282070,1.9,12.2,0.2083333333333333,12.2,5.631204143288735
3388,151,2019,236121,5.7,19.3,0.5749999999999998,14.5,13.149978069609638
3389,159,2019,250679,4.5,24.2,0.6083333333333333,13.7,15.649554646556869
3390,163,2019,236643,5.8,18.8,0.36666666666666664,16.7,15.308691101288051
3395,240,2019,274867,3.0,10.5,0.5583333333333333,10.0,6.49325948254497
3400,155,2019,311793,2.3,13.3,0.6583333333333333,11.3,4.237730595196658
3402,157,2019,427370,3.7,25.1,0.5999999999999999,11.6,8.728964745979338
3404,173,2019,322546,3.9,20.0,0.4166666666666667,10.4,9.43280203547828
3405,230,2019,412461,3.0,13.2,0.4916666666666667,9.9,7.6211257216305865
3418,190,2019,308833,3.1,15.7,0.36666666666666664,12.4,10.557450404606003
3425,223,2019,375418,4.3,16.1,0.525,10.7,6.578907883286153
3428,210,2019,281526,4.1,18.2,0.3833333333333333,9.4,11.930020017017526
3434,217,2019,254779,5.6,21.6,0.7083333333333334,12.6,9.17182199161844
3441,270,2019,245826,3.9,18.9,0.3499999999999999,14.9,4.346797240475453
3445,219,2019,262199,6.2,17.3,0.48333333333333345,12.0,8.279196179358959
3453,260,2019,224733,5.0,19.9,0.6583333333333333,14.5,6.610437028651604
3463,201,2019,306103,4.0,11.0,0.2750000000000001,9.7,6.040196603241034
3492,250,2019,242718,6.1,15.3,0.525,14.8,5.565297951890944
3501,400,2019,202976,5.0,18.6,0.39166666666666666,13.2,3.6558583347006777
