,institutionsnummer,Karakter,Soc_ref,beliggenhedskommunenr,lat,lon,postnr,student_count,navn,institutionstype2,institutionstype3,coordinates
0,101001,7.6,7.5,101.0,55.6729159978565,12.575738616700999,1552.0,521.0,Den Classenske Legatskole,Grundskoler,Folkeskoler,"(55.6729159978565, 12.575738616700999)"
1,101003,7.3,7.5,101.0,55.69057241088161,12.5862454099148,1350.0,533.0,Nyboder Skole,Grundskoler,Folkeskoler,"(55.69057241088161, 12.5862454099148)"
2,101005,7.4,7.5,101.0,55.686493209469496,12.5832427650795,1307.0,478.0,Sølvgades Skole,Grundskoler,Folkeskoler,"(55.686493209469496, 12.5832427650795)"
3,101007,5.6,6.1,101.0,55.6902881167035,12.544704464126301,2200.0,746.0,Nørrebro Park Skole,Grundskoler,Folkeskoler,"(55.6902881167035, 12.544704464126301)"
4,101008,5.3,5.6,101.0,55.687825641869004,12.550209992394901,2200.0,500.0,Blågård Skole,Grundskoler,Folkeskoler,"(55.687825641869004, 12.550209992394901)"
5,101011,6.2,6.6,101.0,55.704386340680706,12.508446326404,2700.0,819.0,Bellahøj Skole,Grundskoler,Folkeskoler,"(55.704386340680706, 12.508446326404)"
6,101012,6.7,7.3,101.0,55.704169199945405,12.4947869758271,2700.0,740.0,Brønshøj Skole,Grundskoler,Folkeskoler,"(55.704169199945405, 12.4947869758271)"
7,101015,6.1,6.0,101.0,55.6988371703698,12.5272299764227,2400.0,446.0,Grøndalsvængets Skole,Grundskoler,Folkeskoler,"(55.6988371703698, 12.5272299764227)"
8,101017,6.6,6.7,101.0,55.7060885641584,12.473761688803698,2700.0,636.0,Husum Skole,Grundskoler,Folkeskoler,"(55.7060885641584, 12.473761688803698)"
9,101018,8.1,7.9,101.0,55.6848392747371,12.4815099396248,2720.0,791.0,Hyltebjerg Skole,Grundskoler,Folkeskoler,"(55.6848392747371, 12.4815099396248)"
10,101019,7.6,7.8,101.0,55.690223062739,12.4987635776381,2720.0,861.0,Katrinedals Skole,Grundskoler,Folkeskoler,"(55.690223062739, 12.4987635776381)"
11,101020,7.4,7.4,101.0,55.696308780138,12.482887762769302,2720.0,794.0,Kirkebjerg Skole,Grundskoler,Folkeskoler,"(55.696308780138, 12.482887762769302)"
12,101021,5.5,5.9,101.0,55.7095599787281,12.4693256156746,2700.0,676.0,Korsager Skole,Grundskoler,Folkeskoler,"(55.7095599787281, 12.4693256156746)"
13,101022,6.1,6.7,101.0,55.697004850485705,12.507010821589802,2720.0,731.0,Rødkilde Skole,Grundskoler,Folkeskoler,"(55.697004850485705, 12.507010821589802)"
14,101023,5.7,5.6,101.0,55.7190877977116,12.484466885778401,2700.0,412.0,Tingbjerg Skole,Grundskoler,Folkeskoler,"(55.7190877977116, 12.484466885778401)"
15,101024,5.9,6.0,101.0,55.6864665871815,12.4816166015543,2720.0,413.0,Vanløse Skole,Grundskoler,Folkeskoler,"(55.6864665871815, 12.4816166015543)"
16,101029,4.1,5.1,101.0,55.7097800671489,12.533511075824,2400.0,523.0,Tagensbo Skole,Grundskoler,Folkeskoler,"(55.7097800671489, 12.533511075824)"
17,101030,6.7,6.6,101.0,55.724450197991295,12.5287620322137,2400.0,612.0,Holbergskolen,Grundskoler,Folkeskoler,"(55.724450197991295, 12.5287620322137)"
18,101034,4.6,5.1,101.0,55.699025080831206,12.5495949937569,2200.0,544.0,Rådmandsgades Skole,Grundskoler,Folkeskoler,"(55.699025080831206, 12.5495949937569)"
19,101035,6.9,7.0,101.0,55.693185103816205,12.5531439907036,2200.0,938.0,Guldberg Skole,Grundskoler,Folkeskoler,"(55.693185103816205, 12.5531439907036)"
20,101039,7.5,7.6,101.0,55.7057827485052,12.5807941283846,2100.0,449.0,Randersgades Skole,Grundskoler,Folkeskoler,"(55.7057827485052, 12.5807941283846)"
21,101041,7.7,7.6,101.0,55.71124434353129,12.579208584077598,2100.0,597.0,Strandvejsskolen,Grundskoler,Folkeskoler,"(55.71124434353129, 12.579208584077598)"
22,101042,6.6,7.0,101.0,55.7087556166683,12.5788239345057,2100.0,529.0,Vibenshus Skole,Grundskoler,Folkeskoler,"(55.7087556166683, 12.5788239345057)"
23,101043,8.1,8.3,101.0,55.692564602145005,12.5775684168944,2100.0,660.0,Øster Farimagsgades Skole,Grundskoler,Folkeskoler,"(55.692564602145005, 12.5775684168944)"
24,101047,7.3,7.6,101.0,55.674008557273595,12.596668921721498,1422.0,755.0,Christianshavns Skole,Grundskoler,Folkeskoler,"(55.674008557273595, 12.596668921721498)"
25,101050,5.2,5.4,101.0,55.6631089602849,12.6088427991237,2300.0,415.0,Skolen på Amagerbro,Grundskoler,Folkeskoler,"(55.6631089602849, 12.6088427991237)"
26,101052,6.2,6.5,101.0,55.6467457419843,12.603824731219401,2300.0,637.0,Højdevangens Skole,Grundskoler,Folkeskoler,"(55.6467457419843, 12.603824731219401)"
27,101053,7.4,7.5,101.0,55.6532315899916,12.628020114748399,2300.0,836.0,Skolen ved Sundet,Grundskoler,Folkeskoler,"(55.6532315899916, 12.628020114748399)"
28,101058,6.4,6.3,101.0,55.664994202965495,12.613406966616399,2300.0,723.0,Lergravsparkens Skole,Grundskoler,Folkeskoler,"(55.664994202965495, 12.613406966616399)"
29,101059,7.1,7.4,101.0,55.6629241401929,12.583199412125799,2300.0,1080.0,Skolen på Islands Brygge,Grundskoler,Folkeskoler,"(55.6629241401929, 12.583199412125799)"
30,101060,6.3,5.9,101.0,55.655356332401894,12.596598560878999,2300.0,711.0,Peder Lykke Skolen,Grundskoler,Folkeskoler,"(55.655356332401894, 12.596598560878999)"
31,101062,5.3,5.4,101.0,55.6578964166001,12.5356498902901,2450.0,286.0,Bavnehøj Skole,Grundskoler,Folkeskoler,"(55.6578964166001, 12.5356498902901)"
32,101063,5.8,5.5,101.0,55.6510747055513,12.531610607486801,2450.0,399.0,Ellebjerg Skole,Grundskoler,Folkeskoler,"(55.6510747055513, 12.531610607486801)"
33,101064,7.0,7.3,101.0,55.6664515798549,12.5449517678894,1670.0,829.0,Tove Ditlevsens Skole,Grundskoler,Folkeskoler,"(55.6664515798549, 12.5449517678894)"
34,101069,6.9,7.3,101.0,55.667596755247494,12.550323216110101,1663.0,486.0,Oehlenschlægersgades Skole,Grundskoler,Folkeskoler,"(55.667596755247494, 12.550323216110101)"
35,101070,7.3,7.7,101.0,55.666652912372896,12.486321625850401,2500.0,546.0,Hanssted Skole,Grundskoler,Folkeskoler,"(55.666652912372896, 12.486321625850401)"
36,101071,5.6,5.9,101.0,55.649156789376605,12.501983122535801,2500.0,605.0,Kirsebærhavens Skole,Grundskoler,Folkeskoler,"(55.649156789376605, 12.501983122535801)"
37,101072,6.0,5.8,101.0,55.6601006734379,12.484063677139199,2500.0,406.0,Lykkebo Skole,Grundskoler,Folkeskoler,"(55.6601006734379, 12.484063677139199)"
38,101074,5.9,6.2,101.0,55.6651536990499,12.509108238038301,2500.0,617.0,Valby Skole,Grundskoler,Folkeskoler,"(55.6651536990499, 12.509108238038301)"
39,101075,5.5,5.8,101.0,55.661452474609604,12.5080916879191,2500.0,576.0,Vigerslev Allés Skole,Grundskoler,Folkeskoler,"(55.661452474609604, 12.5080916879191)"
40,101076,6.1,6.3,101.0,55.6700885940723,12.495058522832698,2500.0,444.0,Ålholm Skole,Grundskoler,Folkeskoler,"(55.6700885940723, 12.495058522832698)"
41,101077,5.7,5.8,101.0,55.70033034223621,12.5350867947684,2400.0,62.0,Svanevej Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.70033034223621, 12.5350867947684)"
42,101078,8.1,7.9,101.0,55.7222505426711,12.5577468810455,2100.0,156.0,Carolineskolen,Grundskoler,Friskoler og private grundskoler,"(55.7222505426711, 12.5577468810455)"
43,101080,5.6,5.7,101.0,55.683976258937996,12.5667857706436,1364.0,301.0,Det Kgl Vaisenhus Skole,Grundskoler,Friskoler og private grundskoler,"(55.683976258937996, 12.5667857706436)"
44,101081,7.9,7.8,101.0,55.6941915753893,12.582307786777198,2100.0,678.0,Institut Sankt Joseph,Grundskoler,Friskoler og private grundskoler,"(55.6941915753893, 12.582307786777198)"
45,101082,5.3,6.0,101.0,55.68824371888821,12.5593533207393,2200.0,306.0,Sankt Ansgars Skole,Grundskoler,Friskoler og private grundskoler,"(55.68824371888821, 12.5593533207393)"
46,101083,9.2,8.7,101.0,55.689790970187595,12.5755962794031,2100.0,398.0,Krebs' Skole,Grundskoler,Friskoler og private grundskoler,"(55.689790970187595, 12.5755962794031)"
47,101084,7.4,7.4,101.0,55.653833385258295,12.6071414814094,2300.0,567.0,Sankt Annæ Skole,Grundskoler,Friskoler og private grundskoler,"(55.653833385258295, 12.6071414814094)"
48,101086,8.1,8.2,101.0,55.6941743205278,12.576322905164199,2100.0,412.0,Bordings Friskole,Grundskoler,Friskoler og private grundskoler,"(55.6941743205278, 12.576322905164199)"
49,101088,8.1,8.2,101.0,55.6827235384127,12.569256361673999,1361.0,428.0,N. Zahles Seminarieskole,Grundskoler,Friskoler og private grundskoler,"(55.6827235384127, 12.569256361673999)"
50,101091,7.1,7.1,101.0,55.6624030145113,12.6318796858562,2300.0,190.0,"Hovedstadens Privatskole, Filipskolen",Grundskoler,Friskoler og private grundskoler,"(55.6624030145113, 12.6318796858562)"
51,101092,8.1,8.0,101.0,55.6513244813005,12.6173567016551,2300.0,219.0,Amager Lille Skole,Grundskoler,Friskoler og private grundskoler,"(55.6513244813005, 12.6173567016551)"
52,101111,7.4,7.8,101.0,55.6581068147651,12.5058890928141,2500.0,458.0,Byens Skole,Grundskoler,Friskoler og private grundskoler,"(55.6581068147651, 12.5058890928141)"
53,101133,6.5,7.2,101.0,55.6660022996429,12.5064141973877,2500.0,201.0,Freinet-Skolen,Grundskoler,Friskoler og private grundskoler,"(55.6660022996429, 12.5064141973877)"
54,101135,9.1,8.4,101.0,55.682171211756604,12.4880983225825,2720.0,203.0,Vanløse Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.682171211756604, 12.4880983225825)"
55,101138,5.1,5.8,101.0,55.7184703801835,12.544362399661301,2100.0,563.0,Lundehusskolen,Grundskoler,Folkeskoler,"(55.7184703801835, 12.544362399661301)"
56,101140,6.3,7.1,101.0,55.657277,12.51978288,2500.0,182.0,Trekronergade Freinetskole,Grundskoler,Friskoler og private grundskoler,"(55.657277, 12.51978288)"
57,101149,8.1,6.6,101.0,55.69039923,12.56165569,2200.0,415.0,DIA Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.69039923, 12.56165569)"
58,101151,5.5,6.0,101.0,55.716494287455504,12.5733199878141,2100.0,755.0,Kildevældsskolen,Grundskoler,Folkeskoler,"(55.716494287455504, 12.5733199878141)"
59,101152,9.4,9.0,101.0,55.7213912573883,12.5586640107915,2100.0,169.0,Bjørns Internationale Skole,Grundskoler,Friskoler og private grundskoler,"(55.7213912573883, 12.5586640107915)"
60,101153,8.8,8.5,101.0,55.700287411550995,12.5785481531163,2100.0,650.0,Ingrid Jespersens Gymnasieskole,Grundskoler,Friskoler og private grundskoler,"(55.700287411550995, 12.5785481531163)"
61,101154,8.1,7.9,101.0,55.70812777276301,12.5670547038203,2100.0,499.0,Niels Steensens Gymnasium,Grundskoler,Friskoler og private grundskoler,"(55.70812777276301, 12.5670547038203)"
62,101155,8.9,8.6,101.0,55.682456904809705,12.569828766514402,1358.0,773.0,N. Zahles Gymnasieskole,Grundskoler,Friskoler og private grundskoler,"(55.682456904809705, 12.569828766514402)"
63,101157,7.9,7.8,101.0,55.6977329321241,12.577207980257,2100.0,744.0,Sortedamskolen,Grundskoler,Folkeskoler,"(55.6977329321241, 12.577207980257)"
64,101158,8.1,8.2,101.0,55.656084053320505,12.5258455390821,2500.0,577.0,Sankt Annæ Gymnasiums Grundskole,Grundskoler,Folkeskoler,"(55.656084053320505, 12.5258455390821)"
65,101162,7.1,6.9,101.0,55.6591591982375,12.501859125616699,2500.0,195.0,Kildeskolen,Grundskoler,Friskoler og private grundskoler,"(55.6591591982375, 12.501859125616699)"
66,101163,6.5,6.2,101.0,55.648067833665294,12.6347715795188,2300.0,210.0,Amager's International School,Grundskoler,Friskoler og private grundskoler,"(55.648067833665294, 12.6347715795188)"
67,101169,6.6,6.2,101.0,55.6961895927436,12.4813493360965,2720.0,175.0,Jinnah International School,Grundskoler,Friskoler og private grundskoler,"(55.6961895927436, 12.4813493360965)"
68,101170,7.1,7.6,101.0,55.6925081,12.55873945,2200.0,147.0,Det Frie Gymnasiums Grundskole,Grundskoler,Friskoler og private grundskoler,"(55.6925081, 12.55873945)"
69,101172,7.8,6.8,101.0,55.6875406075802,12.4871951099964,2720.0,197.0,Ahi International School,Grundskoler,Friskoler og private grundskoler,"(55.6875406075802, 12.4871951099964)"
70,101174,5.3,5.4,101.0,55.662116959338796,12.596477457471002,2300.0,632.0,Amager Fælled Skole,Grundskoler,Folkeskoler,"(55.662116959338796, 12.596477457471002)"
71,101175,7.2,7.6,101.0,55.699606211108396,12.586741262849099,2100.0,744.0,Langelinieskolen,Grundskoler,Folkeskoler,"(55.699606211108396, 12.586741262849099)"
72,101178,6.6,6.9,101.0,55.702232763199206,12.5358365040029,2400.0,118.0,Lygten Skole,Grundskoler,Friskoler og private grundskoler,"(55.702232763199206, 12.5358365040029)"
73,101180,8.4,7.4,101.0,55.6503931524827,12.5224910365209,2450.0,238.0,Al Hikma Skolen,Grundskoler,Friskoler og private grundskoler,"(55.6503931524827, 12.5224910365209)"
74,101181,7.5,6.3,101.0,55.649476960703495,12.522663050445,2450.0,345.0,Hay Skolen,Grundskoler,Friskoler og private grundskoler,"(55.649476960703495, 12.522663050445)"
75,101184,6.9,6.2,101.0,55.6985444983091,12.5306831759221,2400.0,203.0,Sjællands Privatskole,Grundskoler,Friskoler og private grundskoler,"(55.6985444983091, 12.5306831759221)"
76,101185,7.8,8.1,101.0,55.673601795546105,12.556696319725999,1616.0,133.0,Mariendal Friskole,Grundskoler,Friskoler og private grundskoler,"(55.673601795546105, 12.556696319725999)"
77,101188,7.0,6.8,101.0,55.6742769940967,12.5593781673688,1610.0,226.0,Copenhagen City School,Grundskoler,Friskoler og private grundskoler,"(55.6742769940967, 12.5593781673688)"
78,101191,7.5,7.8,101.0,55.670587132229606,12.5483968790286,1665.0,251.0,Børneuniversitetet på Vesterbro,Grundskoler,Friskoler og private grundskoler,"(55.670587132229606, 12.5483968790286)"
