,navn,postnr,beliggenhedskommune,beliggenhedskommunenr,lat,lon,institutionstype2,institutionstype3,institutionsnummer
0,Den Classenske Legatskole,1552,Københavns Kommune,101,55.6729159978565,12.575738616701,Grundskoler,Folkeskoler,101001
1,Nyboder Skole,1350,Københavns Kommune,101,55.6905724108816,12.5862454099148,Grundskoler,Folkeskoler,101003
2,Sølvgades Skole,1307,Københavns Kommune,101,55.6864932094695,12.5832427650795,Grundskoler,Folkeskoler,101005
3,Nørrebro Park Skole,2200,Københavns Kommune,101,55.6902881167035,12.5447044641263,Grundskoler,Folkeskoler,101007
4,Blågård Skole,2200,Københavns Kommune,101,55.687825641869,12.5502099923949,Grundskoler,Folkeskoler,101008
5,Bellahøj Skole,2700,Københavns Kommune,101,55.7043863406807,12.508446326404,Grundskoler,Folkeskoler,101011
6,Brønshøj Skole,2700,Københavns Kommune,101,55.7041691999454,12.4947869758271,Grundskoler,Folkeskoler,101012
7,Grøndalsvængets Skole,2400,Københavns Kommune,101,55.6988371703698,12.5272299764227,Grundskoler,Folkeskoler,101015
8,Husum Skole,2700,Københavns Kommune,101,55.7060885641584,12.4737616888037,Grundskoler,Folkeskoler,101017
9,Hyltebjerg Skole,2720,Københavns Kommune,101,55.6848392747371,12.4815099396248,Grundskoler,Folkeskoler,101018
10,Katrinedals Skole,2720,Københavns Kommune,101,55.690223062739,12.4987635776381,Grundskoler,Folkeskoler,101019
11,Kirkebjerg Skole,2720,Københavns Kommune,101,55.696308780138,12.4828877627693,Grundskoler,Folkeskoler,101020
12,Korsager Skole,2700,Københavns Kommune,101,55.7095599787281,12.4693256156746,Grundskoler,Folkeskoler,101021
13,Rødkilde Skole,2720,Københavns Kommune,101,55.6970048504857,12.5070108215898,Grundskoler,Folkeskoler,101022
14,Tingbjerg Skole,2700,Københavns Kommune,101,55.7190877977116,12.4844668857784,Grundskoler,Folkeskoler,101023
15,Vanløse Skole,2720,Københavns Kommune,101,55.6864665871815,12.4816166015543,Grundskoler,Folkeskoler,101024
16,Tagensbo Skole,2400,Københavns Kommune,101,55.7097800671489,12.533511075824,Grundskoler,Folkeskoler,101029
17,Holbergskolen,2400,Københavns Kommune,101,55.7244501979913,12.5287620322137,Grundskoler,Folkeskoler,101030
18,Rådmandsgades Skole,2200,Københavns Kommune,101,55.6990250808312,12.5495949937569,Grundskoler,Folkeskoler,101034
19,Guldberg Skole,2200,Københavns Kommune,101,55.6931851038162,12.5531439907036,Grundskoler,Folkeskoler,101035
20,Randersgades Skole,2100,Københavns Kommune,101,55.7057827485052,12.5807941283846,Grundskoler,Folkeskoler,101039
21,Strandvejsskolen,2100,Københavns Kommune,101,55.7112443435313,12.5792085840776,Grundskoler,Folkeskoler,101041
22,Vibenshus Skole,2100,Københavns Kommune,101,55.7087556166683,12.5788239345057,Grundskoler,Folkeskoler,101042
23,Øster Farimagsgades Skole,2100,Københavns Kommune,101,55.692564602145,12.5775684168944,Grundskoler,Folkeskoler,101043
24,Nørre Fælled Skole,2100,Københavns Kommune,101,55.7053610702465,12.5581524982066,Grundskoler,Folkeskoler,101045
25,Christianshavns Skole,1422,Københavns Kommune,101,55.6740085572736,12.5966689217215,Grundskoler,Folkeskoler,101047
26,Dyvekeskolen,2300,Københavns Kommune,101,55.6485535337279,12.5954335137235,Grundskoler,Folkeskoler,101049
27,Skolen på Amagerbro,2300,Københavns Kommune,101,55.6631089602849,12.6088427991237,Grundskoler,Folkeskoler,101050
28,Gerbrandskolen,2300,Københavns Kommune,101,55.6472547856023,12.6166969527242,Grundskoler,Folkeskoler,101051
29,Højdevangens Skole,2300,Københavns Kommune,101,55.6467457419843,12.6038247312194,Grundskoler,Folkeskoler,101052
30,Skolen ved Sundet,2300,Københavns Kommune,101,55.6532315899916,12.6280201147484,Grundskoler,Folkeskoler,101053
31,Sundbyøster Skole,2300,Københavns Kommune,101,55.6514496031089,12.6138477964519,Grundskoler,Folkeskoler,101055
32,Lergravsparkens Skole,2300,Københavns Kommune,101,55.6649942029655,12.6134069666164,Grundskoler,Folkeskoler,101058
33,Skolen på Islands Brygge,2300,Københavns Kommune,101,55.6629241401929,12.5831994121258,Grundskoler,Folkeskoler,101059
34,Peder Lykke Skolen,2300,Københavns Kommune,101,55.6553563324019,12.596598560879,Grundskoler,Folkeskoler,101060
35,Bavnehøj Skole,2450,Københavns Kommune,101,55.6578964166001,12.5356498902901,Grundskoler,Folkeskoler,101062
36,Ellebjerg Skole,2450,Københavns Kommune,101,55.6510747055513,12.5316106074868,Grundskoler,Folkeskoler,101063
37,Tove Ditlevsens Skole,1670,Københavns Kommune,101,55.6664515798549,12.5449517678894,Grundskoler,Folkeskoler,101064
38,Oehlenschlægersgades Skole,1663,Københavns Kommune,101,55.6675967552475,12.5503232161101,Grundskoler,Folkeskoler,101069
39,Hanssted Skole,2500,Københavns Kommune,101,55.6666529123729,12.4863216258504,Grundskoler,Folkeskoler,101070
40,Kirsebærhavens Skole,2500,Københavns Kommune,101,55.6491567893766,12.5019831225358,Grundskoler,Folkeskoler,101071
41,Lykkebo Skole,2500,Københavns Kommune,101,55.6601006734379,12.4840636771392,Grundskoler,Folkeskoler,101072
42,Valby Skole,2500,Københavns Kommune,101,55.6651536990499,12.5091082380383,Grundskoler,Folkeskoler,101074
43,Vigerslev Allés Skole,2500,Københavns Kommune,101,55.6614524746096,12.5080916879191,Grundskoler,Folkeskoler,101075
44,Ålholm Skole,2500,Københavns Kommune,101,55.6700885940723,12.4950585228327,Grundskoler,Folkeskoler,101076
45,Svanevej Privatskole,2400,Københavns Kommune,101,55.7003303422362,12.5350867947684,Grundskoler,Friskoler og private grundskoler,101077
46,Carolineskolen,2100,Københavns Kommune,101,55.7222505426711,12.5577468810455,Grundskoler,Friskoler og private grundskoler,101078
47,Christianshavns Døttreskole,1420,Københavns Kommune,101,55.6732833108904,12.5938930931463,Grundskoler,Friskoler og private grundskoler,101079
