,party,votes,eligible_count,blank,invalid,total_valid,total_casted,time_stamp,address,names,refs,links,year
0,Socialdemokratiet,1515,5415,33,20,4558,4611,2011-09-16 13:03:30,Assensskolen                    Skelvej 29                    5610 Assens,Assens,F604420001.htm,https://www.kmdvalg.dk/fv/2011/F604420001.htm,2011
1,Radikale Venstre,272,5415,33,20,4558,4611,2011-09-16 13:03:30,Assensskolen                    Skelvej 29                    5610 Assens,Assens,F604420001.htm,https://www.kmdvalg.dk/fv/2011/F604420001.htm,2011
2,Det Konservative Folkeparti,195,5415,33,20,4558,4611,2011-09-16 13:03:30,Assensskolen                    Skelvej 29                    5610 Assens,Assens,F604420001.htm,https://www.kmdvalg.dk/fv/2011/F604420001.htm,2011
3,SF - Socialistisk Folkeparti,421,5415,33,20,4558,4611,2011-09-16 13:03:30,Assensskolen                    Skelvej 29                    5610 Assens,Assens,F604420001.htm,https://www.kmdvalg.dk/fv/2011/F604420001.htm,2011
4,Liberal Alliance,169,5415,33,20,4558,4611,2011-09-16 13:03:30,Assensskolen                    Skelvej 29                    5610 Assens,Assens,F604420001.htm,https://www.kmdvalg.dk/fv/2011/F604420001.htm,2011
5,Kristendemokraterne,20,5415,33,20,4558,4611,2011-09-16 13:03:30,Assensskolen                    Skelvej 29                    5610 Assens,Assens,F604420001.htm,https://www.kmdvalg.dk/fv/2011/F604420001.htm,2011
6,Dansk Folkeparti,561,5415,33,20,4558,4611,2011-09-16 13:03:30,Assensskolen                    Skelvej 29                    5610 Assens,Assens,F604420001.htm,https://www.kmdvalg.dk/fv/2011/F604420001.htm,2011
7,"Venstre, Danmarks Liberale Parti",1147,5415,33,20,4558,4611,2011-09-16 13:03:30,Assensskolen                    Skelvej 29                    5610 Assens,Assens,F604420001.htm,https://www.kmdvalg.dk/fv/2011/F604420001.htm,2011
8,Enhedslisten - De Rød-Grønne,256,5415,33,20,4558,4611,2011-09-16 13:03:30,Assensskolen                    Skelvej 29                    5610 Assens,Assens,F604420001.htm,https://www.kmdvalg.dk/fv/2011/F604420001.htm,2011
9,Michael Ellegaard,1,5415,33,20,4558,4611,2011-09-16 13:03:30,Assensskolen                    Skelvej 29                    5610 Assens,Assens,F604420001.htm,https://www.kmdvalg.dk/fv/2011/F604420001.htm,2011
10,Lars Grønbæk Larsen,1,5415,33,20,4558,4611,2011-09-16 13:03:30,Assensskolen                    Skelvej 29                    5610 Assens,Assens,F604420001.htm,https://www.kmdvalg.dk/fv/2011/F604420001.htm,2011
0,Socialdemokratiet,409,1297,9,4,1152,1165,2011-09-16 11:46:21,Ebberup Hus                    Ebberupvej 70                    5631 Ebberup,Ebberup,F604420002.htm,https://www.kmdvalg.dk/fv/2011/F604420002.htm,2011
1,Radikale Venstre,78,1297,9,4,1152,1165,2011-09-16 11:46:21,Ebberup Hus                    Ebberupvej 70                    5631 Ebberup,Ebberup,F604420002.htm,https://www.kmdvalg.dk/fv/2011/F604420002.htm,2011
2,Det Konservative Folkeparti,44,1297,9,4,1152,1165,2011-09-16 11:46:21,Ebberup Hus                    Ebberupvej 70                    5631 Ebberup,Ebberup,F604420002.htm,https://www.kmdvalg.dk/fv/2011/F604420002.htm,2011
3,SF - Socialistisk Folkeparti,111,1297,9,4,1152,1165,2011-09-16 11:46:21,Ebberup Hus                    Ebberupvej 70                    5631 Ebberup,Ebberup,F604420002.htm,https://www.kmdvalg.dk/fv/2011/F604420002.htm,2011
4,Liberal Alliance,47,1297,9,4,1152,1165,2011-09-16 11:46:21,Ebberup Hus                    Ebberupvej 70                    5631 Ebberup,Ebberup,F604420002.htm,https://www.kmdvalg.dk/fv/2011/F604420002.htm,2011
5,Kristendemokraterne,4,1297,9,4,1152,1165,2011-09-16 11:46:21,Ebberup Hus                    Ebberupvej 70                    5631 Ebberup,Ebberup,F604420002.htm,https://www.kmdvalg.dk/fv/2011/F604420002.htm,2011
6,Dansk Folkeparti,125,1297,9,4,1152,1165,2011-09-16 11:46:21,Ebberup Hus                    Ebberupvej 70                    5631 Ebberup,Ebberup,F604420002.htm,https://www.kmdvalg.dk/fv/2011/F604420002.htm,2011
7,"Venstre, Danmarks Liberale Parti",284,1297,9,4,1152,1165,2011-09-16 11:46:21,Ebberup Hus                    Ebberupvej 70                    5631 Ebberup,Ebberup,F604420002.htm,https://www.kmdvalg.dk/fv/2011/F604420002.htm,2011
8,Enhedslisten - De Rød-Grønne,49,1297,9,4,1152,1165,2011-09-16 11:46:21,Ebberup Hus                    Ebberupvej 70                    5631 Ebberup,Ebberup,F604420002.htm,https://www.kmdvalg.dk/fv/2011/F604420002.htm,2011
9,Michael Ellegaard,1,1297,9,4,1152,1165,2011-09-16 11:46:21,Ebberup Hus                    Ebberupvej 70                    5631 Ebberup,Ebberup,F604420002.htm,https://www.kmdvalg.dk/fv/2011/F604420002.htm,2011
10,Lars Grønbæk Larsen,0,1297,9,4,1152,1165,2011-09-16 11:46:21,Ebberup Hus                    Ebberupvej 70                    5631 Ebberup,Ebberup,F604420002.htm,https://www.kmdvalg.dk/fv/2011/F604420002.htm,2011
0,Socialdemokratiet,162,664,10,0,591,601,2011-09-16 11:56:09,Turup Forsamlingshus                    Kærvangen 17                    5610 Assens,Turup,F604420003.htm,https://www.kmdvalg.dk/fv/2011/F604420003.htm,2011
1,Radikale Venstre,38,664,10,0,591,601,2011-09-16 11:56:09,Turup Forsamlingshus                    Kærvangen 17                    5610 Assens,Turup,F604420003.htm,https://www.kmdvalg.dk/fv/2011/F604420003.htm,2011
2,Det Konservative Folkeparti,26,664,10,0,591,601,2011-09-16 11:56:09,Turup Forsamlingshus                    Kærvangen 17                    5610 Assens,Turup,F604420003.htm,https://www.kmdvalg.dk/fv/2011/F604420003.htm,2011
3,SF - Socialistisk Folkeparti,60,664,10,0,591,601,2011-09-16 11:56:09,Turup Forsamlingshus                    Kærvangen 17                    5610 Assens,Turup,F604420003.htm,https://www.kmdvalg.dk/fv/2011/F604420003.htm,2011
4,Liberal Alliance,28,664,10,0,591,601,2011-09-16 11:56:09,Turup Forsamlingshus                    Kærvangen 17                    5610 Assens,Turup,F604420003.htm,https://www.kmdvalg.dk/fv/2011/F604420003.htm,2011
5,Kristendemokraterne,4,664,10,0,591,601,2011-09-16 11:56:09,Turup Forsamlingshus                    Kærvangen 17                    5610 Assens,Turup,F604420003.htm,https://www.kmdvalg.dk/fv/2011/F604420003.htm,2011
6,Dansk Folkeparti,89,664,10,0,591,601,2011-09-16 11:56:09,Turup Forsamlingshus                    Kærvangen 17                    5610 Assens,Turup,F604420003.htm,https://www.kmdvalg.dk/fv/2011/F604420003.htm,2011
7,"Venstre, Danmarks Liberale Parti",148,664,10,0,591,601,2011-09-16 11:56:09,Turup Forsamlingshus                    Kærvangen 17                    5610 Assens,Turup,F604420003.htm,https://www.kmdvalg.dk/fv/2011/F604420003.htm,2011
8,Enhedslisten - De Rød-Grønne,36,664,10,0,591,601,2011-09-16 11:56:09,Turup Forsamlingshus                    Kærvangen 17                    5610 Assens,Turup,F604420003.htm,https://www.kmdvalg.dk/fv/2011/F604420003.htm,2011
9,Michael Ellegaard,0,664,10,0,591,601,2011-09-16 11:56:09,Turup Forsamlingshus                    Kærvangen 17                    5610 Assens,Turup,F604420003.htm,https://www.kmdvalg.dk/fv/2011/F604420003.htm,2011
10,Lars Grønbæk Larsen,0,664,10,0,591,601,2011-09-16 11:56:09,Turup Forsamlingshus                    Kærvangen 17                    5610 Assens,Turup,F604420003.htm,https://www.kmdvalg.dk/fv/2011/F604420003.htm,2011
0,Socialdemokratiet,170,708,6,0,611,617,2011-09-16 10:40:30,Salbrovad Hallen                    Salbrovad 30                    5610 Assens,Salbrovad,F604420004.htm,https://www.kmdvalg.dk/fv/2011/F604420004.htm,2011
1,Radikale Venstre,37,708,6,0,611,617,2011-09-16 10:40:30,Salbrovad Hallen                    Salbrovad 30                    5610 Assens,Salbrovad,F604420004.htm,https://www.kmdvalg.dk/fv/2011/F604420004.htm,2011
2,Det Konservative Folkeparti,39,708,6,0,611,617,2011-09-16 10:40:30,Salbrovad Hallen                    Salbrovad 30                    5610 Assens,Salbrovad,F604420004.htm,https://www.kmdvalg.dk/fv/2011/F604420004.htm,2011
3,SF - Socialistisk Folkeparti,54,708,6,0,611,617,2011-09-16 10:40:30,Salbrovad Hallen                    Salbrovad 30                    5610 Assens,Salbrovad,F604420004.htm,https://www.kmdvalg.dk/fv/2011/F604420004.htm,2011
4,Liberal Alliance,22,708,6,0,611,617,2011-09-16 10:40:30,Salbrovad Hallen                    Salbrovad 30                    5610 Assens,Salbrovad,F604420004.htm,https://www.kmdvalg.dk/fv/2011/F604420004.htm,2011
5,Kristendemokraterne,2,708,6,0,611,617,2011-09-16 10:40:30,Salbrovad Hallen                    Salbrovad 30                    5610 Assens,Salbrovad,F604420004.htm,https://www.kmdvalg.dk/fv/2011/F604420004.htm,2011
6,Dansk Folkeparti,99,708,6,0,611,617,2011-09-16 10:40:30,Salbrovad Hallen                    Salbrovad 30                    5610 Assens,Salbrovad,F604420004.htm,https://www.kmdvalg.dk/fv/2011/F604420004.htm,2011
7,"Venstre, Danmarks Liberale Parti",161,708,6,0,611,617,2011-09-16 10:40:30,Salbrovad Hallen                    Salbrovad 30                    5610 Assens,Salbrovad,F604420004.htm,https://www.kmdvalg.dk/fv/2011/F604420004.htm,2011
8,Enhedslisten - De Rød-Grønne,27,708,6,0,611,617,2011-09-16 10:40:30,Salbrovad Hallen                    Salbrovad 30                    5610 Assens,Salbrovad,F604420004.htm,https://www.kmdvalg.dk/fv/2011/F604420004.htm,2011
9,Michael Ellegaard,0,708,6,0,611,617,2011-09-16 10:40:30,Salbrovad Hallen                    Salbrovad 30                    5610 Assens,Salbrovad,F604420004.htm,https://www.kmdvalg.dk/fv/2011/F604420004.htm,2011
10,Lars Grønbæk Larsen,0,708,6,0,611,617,2011-09-16 10:40:30,Salbrovad Hallen                    Salbrovad 30                    5610 Assens,Salbrovad,F604420004.htm,https://www.kmdvalg.dk/fv/2011/F604420004.htm,2011
0,Socialdemokratiet,36,198,3,0,179,182,2011-09-16 12:19:08,Højskolen på Helnæs                    Helnæs Byvej 63                    5631 Ebberup,Helnæs,F604420005.htm,https://www.kmdvalg.dk/fv/2011/F604420005.htm,2011
1,Radikale Venstre,11,198,3,0,179,182,2011-09-16 12:19:08,Højskolen på Helnæs                    Helnæs Byvej 63                    5631 Ebberup,Helnæs,F604420005.htm,https://www.kmdvalg.dk/fv/2011/F604420005.htm,2011
2,Det Konservative Folkeparti,12,198,3,0,179,182,2011-09-16 12:19:08,Højskolen på Helnæs                    Helnæs Byvej 63                    5631 Ebberup,Helnæs,F604420005.htm,https://www.kmdvalg.dk/fv/2011/F604420005.htm,2011
3,SF - Socialistisk Folkeparti,14,198,3,0,179,182,2011-09-16 12:19:08,Højskolen på Helnæs                    Helnæs Byvej 63                    5631 Ebberup,Helnæs,F604420005.htm,https://www.kmdvalg.dk/fv/2011/F604420005.htm,2011
4,Liberal Alliance,8,198,3,0,179,182,2011-09-16 12:19:08,Højskolen på Helnæs                    Helnæs Byvej 63                    5631 Ebberup,Helnæs,F604420005.htm,https://www.kmdvalg.dk/fv/2011/F604420005.htm,2011
5,Kristendemokraterne,2,198,3,0,179,182,2011-09-16 12:19:08,Højskolen på Helnæs                    Helnæs Byvej 63                    5631 Ebberup,Helnæs,F604420005.htm,https://www.kmdvalg.dk/fv/2011/F604420005.htm,2011
