kommunekod;objectid;id_lokalid;afstemni00;kmd_name;municipality;refs;refs;municipality;names;constituency
250;1282410;707024;Slangerup Idræts- og Kulturcenter;Slangerup;Frederikssund Kommune;F304250006.htm;;;;
101;1304873;725338;Skolen på Strandboulevarden;1. Øst;København Kommune;F101101056.htm;;;;
101;1304815;725346;Dyveke Skolen;2. Øst;København Kommune;F102101057.htm;;;;
101;1304805;725358;Utterslev Skole;6. Vest;København Kommune;F106101059.htm;;;;
175;1291785;705072;Tinderhøj Skole;Tinderhøj;Rødovre Kommune;F204175002.htm;;;;
751;1306267;723742;CeresByen 21;VIA University College;Aarhus Kommune;F803751027.htm;;;;
751;1306295;708544;DOKK1;DOKK1;Aarhus Kommune;F804751010.htm;;;;
165;1299142;704718;Herstedøster skole;Herstedøster Skole;Albertslund Kommune;F207165001.htm;F207165001.htm;Albertslund Kommune;Herstedøster Skole;Taastrupkredsen
165;1299136;709136;Egelundskolen;Egelundskolen;Albertslund Kommune;F207165002.htm;F207165002.htm;Albertslund Kommune;Egelundskolen;Taastrupkredsen
165;1306652;710708;Herstedlund Skole;Herstedlund Skole;Albertslund Kommune;F207165003.htm;F207165003.htm;Albertslund Kommune;Herstedlund Skole;Taastrupkredsen
165;1299140;709130;"Albertslund Rådhus; forhallen";Albertslund Rådhus;Albertslund Kommune;F207165004.htm;F207165004.htm;Albertslund Kommune;Musikteatret;Taastrupkredsen
165;1299134;706090;Herstedvester skole;Herstedvester Skole;Albertslund Kommune;F207165005.htm;F207165005.htm;Albertslund Kommune;Herstedvester Skole;Taastrupkredsen
201;1291769;711248;Blovstrød Skole;Blovstrød;Allerød Kommune;F306201001.htm;F306201001.htm;Allerød Kommune;Blovstrød;Rudersdalkredsen
201;1291689;703802;Lillevang Skole - Afd. Skovvang;Skovvang;Allerød Kommune;F306201002.htm;F306201002.htm;Allerød Kommune;Skovvang;Rudersdalkredsen
201;1292307;706698;Lillevang Skole - Afd. Lillerød;Lillerød;Allerød Kommune;F306201003.htm;F306201003.htm;Allerød Kommune;Lillerød;Rudersdalkredsen
201;1292005;705404;Lynge Idrætsanlæg - Hal 2;Lynge;Allerød Kommune;F306201004.htm;F306201004.htm;Allerød Kommune;Lynge;Rudersdalkredsen
201;1292007;705398;Ravnsholtshallen;Ravnsholt;Allerød Kommune;F306201005.htm;F306201005.htm;Allerød Kommune;Ravnsholt;Rudersdalkredsen
420;1277451;710764;ARENA ASSENS;Assens;Assens Kommune;F604420001.htm;F604420001.htm;Assens Kommune;Assens;Assenskredsen
420;1276035;709318;EBBERUP HUS;Ebberup;Assens Kommune;F604420002.htm;F604420002.htm;Assens Kommune;Ebberup;Assenskredsen
420;1278158;711914;TURUP FORSAMLINGSHUS;Turup;Assens Kommune;F604420003.htm;F604420003.htm;Assens Kommune;Turup;Assenskredsen
420;1275676;709286;SALBROVAD-HALLEN;Salbrovad;Assens Kommune;F604420004.htm;F604420004.htm;Assens Kommune;Salbrovad;Assenskredsen
420;1276184;703332;HELNÆS BORGERHUS;Helnæs;Assens Kommune;F604420005.htm;F604420005.htm;Assens Kommune;Helnæs;Assenskredsen
420;1277786;710796;KØNG FORSAMLINGSHUS;Køng;Assens Kommune;F604420007.htm;F604420007.htm;Assens Kommune;Køng;Assenskredsen
420;1275585;704912;GLAMSBJERG HALLEN;Glamsbjerg;Assens Kommune;F604420008.htm;F604420008.htm;Assens Kommune;Glamsbjerg;Assenskredsen
420;1276555;701534;FLEMLØSE GL. KRO;Flemløse;Assens Kommune;F604420009.htm;F604420009.htm;Assens Kommune;Flemløse;Assenskredsen
420;1275812;701558;SØLLESTED FORSAMLINGSHUS;Søllested;Assens Kommune;F604420010.htm;F604420010.htm;Assens Kommune;Søllested;Assenskredsen
420;1276385;709312;ØRSTED FORSAMLINGSHUS;Ørsted;Assens Kommune;F604420011.htm;F604420011.htm;Assens Kommune;Ørsted;Assenskredsen
420;1277850;701526;DRESLETTE FORSAMLINGSHUS;Dreslette;Assens Kommune;F604420012.htm;F604420012.htm;Assens Kommune;Dreslette;Assenskredsen
