kommunekod;objectid;id_lokalid;afstemni00;kmd_name;municipality;refs
165;1299140;709130;"Albertslund Rådhus; forhallen";Albertslund Rådhus;Albertslund Kommune;F207165004.htm
165;1299136;709136;Egelundskolen;Egelundskolen;Albertslund Kommune;F207165002.htm
165;1306652;710708;Herstedlund Skole;Herstedlund Skole;Albertslund Kommune;F207165003.htm
165;1299134;706090;Herstedvester skole;Herstedvester Skole;Albertslund Kommune;F207165005.htm
165;1299142;704718;Herstedøster skole;Herstedøster Skole;Albertslund Kommune;F207165001.htm
201;1291769;711248;Blovstrød Skole;Blovstrød;Allerød Kommune;F306201001.htm
201;1292307;706698;Lillevang Skole - Afd. Lillerød;Lillerød;Allerød Kommune;F306201003.htm
201;1291689;703802;Lillevang Skole - Afd. Skovvang;Skovvang;Allerød Kommune;F306201002.htm
201;1292005;705404;Lynge Idrætsanlæg - Hal 2;Lynge;Allerød Kommune;F306201004.htm
201;1292007;705398;Ravnsholtshallen;Ravnsholt;Allerød Kommune;F306201005.htm
420;1277451;710764;ARENA ASSENS;Assens;Assens Kommune;F604420001.htm
420;1277519;701552;BRYLLE FORSAMLINGSHUS;Brylle;Assens Kommune;F604420015.htm
420;1277850;701526;DRESLETTE FORSAMLINGSHUS;Dreslette;Assens Kommune;F604420012.htm
420;1276035;709318;EBBERUP HUS;Ebberup;Assens Kommune;F604420002.htm
420;1276555;701534;FLEMLØSE GL. KRO;Flemløse;Assens Kommune;F604420009.htm
420;1278402;709364;FRØBJERG SAMLINGS- OG KULTURHUS;Orte;Assens Kommune;F604420023.htm
420;1275919;704924;FYRTÅRN TOMMERUP;Tommerup St;Assens Kommune;F604420017.htm
420;1275585;704912;GLAMSBJERG HALLEN;Glamsbjerg;Assens Kommune;F604420008.htm
420;1276184;703332;HELNÆS BORGERHUS;Helnæs;Assens Kommune;F604420005.htm
420;1276032;707710;HAARBY HALLERNE;Haarby;Assens Kommune;F604420013.htm
420;1277796;711908;JORDLØSE FORSAMLINGSHUS;Jordløse;Assens Kommune;F604420014.htm
420;1277002;701546;KERTE FORSAMLINGSHUS;Kerte;Assens Kommune;F604420022.htm
420;1277786;710796;KØNG FORSAMLINGSHUS;Køng;Assens Kommune;F604420007.htm
420;1278149;710790;NÅRUP FORSAMLINGSHUS;Nårup;Assens Kommune;F604420019.htm
420;1277854;701590;RØRUP BORGERHUS;Rørup;Assens Kommune;F604420024.htm
420;1275676;709286;SALBROVAD-HALLEN;Salbrovad;Assens Kommune;F604420004.htm
420;1275812;701558;SØLLESTED FORSAMLINGSHUS;Søllested;Assens Kommune;F604420010.htm
420;1277785;710784;TOMMERUP BYS FORSAMLINGSHUS;Tommerup;Assens Kommune;F604420016.htm
420;1278158;711914;TURUP FORSAMLINGSHUS;Turup;Assens Kommune;F604420003.htm
420;1276382;707704;VERNINGE FORSAMLINGSHUS;Verninge;Assens Kommune;F604420018.htm
420;1275554;701574;VISSENBJERG IDRÆTS- OG KULTURCENT.;Vissenbjerg;Assens Kommune;F604420020.htm
420;1276385;709312;ØRSTED FORSAMLINGSHUS;Ørsted;Assens Kommune;F604420011.htm
420;1277604;704900;AARUP FRITIDSCENTER;Aarup;Assens Kommune;F604420021.htm
151;1293527;706986;Baltorpskolen - Rugvænget;Baltorpskolen - Rugvænget;Ballerup Kommune;F208151002.htm
151;1293539;710152;Egebjerghallen;Egebjerghallen;Ballerup Kommune;F208151009.htm
151;1293531;710158;Grantoftehallen;Grantoftehallen;Ballerup Kommune;F208151004.htm
151;1293525;705652;Idrætshallen;Idrætshallen;Ballerup Kommune;F208151005.htm
151;1293529;706992;Måløv Ny Hal;Måløv Ny Hal;Ballerup Kommune;F208151008.htm
151;1293535;704024;Skovlunde Skole - Nord;Skovlunde Skole - Nord;Ballerup Kommune;F208151006.htm
151;1293533;710146;Skovvejens Skole - Vest;Skovvejens Skole - Vest;Ballerup Kommune;F208151003.htm
151;1293541;701002;Tapeten;Tapeten;Ballerup Kommune;F208151001.htm
151;1293537;710164;Østerhøjhallen;Østerhøjhallen;Ballerup Kommune;F208151010.htm
530;1292081;704500;Billund-Centret;Billund;Billund Kommune;F707530001.htm
530;1292273;702968;Filskov Kro;Filskov;Billund Kommune;F707530004.htm
530;1291753;708930;Hejnsvig Skole;Hejnsvig;Billund Kommune;F707530007.htm
530;1291661;707400;"Magion; Hal 3";Grindsted;Billund Kommune;F707530006.htm
530;1291755;701374;Sdr. Omme Kro;Sdr. Omme;Billund Kommune;F707530002.htm
530;1292177;710594;Teglgaardshallen;St./Krogager;Billund Kommune;F707530005.htm
530;1291987;704532;Vorbasse Fritidscenter;Vorbasse;Billund Kommune;F707530003.htm
400;1288962;703208;Bornholms Idræts- & Kulturcenter;Allinge;Bornholm Kommune;F402400001.htm
400;1288966;712002;Bornholms Ungdomsskole;Klemensker;Bornholm Kommune;F401400007.htm
400;1288964;707890;Hasle Hallen;Hasle;Bornholm Kommune;F401400009.htm
400;1292131;703286;Paradisbakkeskolen;Nexø;Bornholm Kommune;F402400004.htm
400;1292171;709262;Pedersker Samlingshus;Pedersker;Bornholm Kommune;F402400005.htm
400;1289090;711102;Rønne Idrætshal;Rønne;Bornholm Kommune;F401400008.htm
400;1292079;703086;Svaneke Hallen;Svaneke;Bornholm Kommune;F402400003.htm
400;1291749;707574;Østermarie Hallen;Østermarie;Bornholm Kommune;F402400002.htm
400;1288888;704742;"Aakirkeby-Hallerne; Mødelokaler";Aakirkeby;Bornholm Kommune;F402400006.htm
153;1277386;707090;Brøndbyvester Skole;Brøndbyvester Skole;Brøndby Kommune;F206153001.htm
153;1277527;702448;Kulturhuset Brønden;Kulturhuset Brønden;Brøndby Kommune;F206153005.htm
153;1277378;708674;Lindelundshallen;Lindelundshallen;Brøndby Kommune;F206153003.htm
153;1275834;702442;Nørregård;Nørregård;Brøndby Kommune;F206153004.htm
153;1276005;707084;Tjørnehøjhallen;Tjørnehøjhallen;Brøndby Kommune;F206153002.htm
810;1298257;708624;Agersted Kro;Agersted;Brønderslev Kommune;F1003810001.htm
810;1298237;708636;Asaa-Hallen;Asaa;Brønderslev Kommune;F1003810002.htm
810;1298251;711454;Borgen;Brønderslev;Brønderslev Kommune;F1003810010.htm
810;1298233;710140;Brønderslev-Hallen;Dronninglund;Brønderslev Kommune;F1003810003.htm
810;1298253;705640;Dronninglund Hotel;Jerslev;Brønderslev Kommune;F1003810070.htm
810;1298241;704018;Hallund Kro;Hallund;Brønderslev Kommune;F1003810056.htm
810;1298243;700990;Hjallerup Kulturhus;Hjallerup;Brønderslev Kommune;F1003810005.htm
810;1298235;700996;Jyske Ås Kulturhus & Vandrehjem;Flauenskjold;Brønderslev Kommune;F1003810004.htm
810;1298249;704012;Manna-Thise Multihus;Thise;Brønderslev Kommune;F1003810040.htm
810;1298247;708630;Serritslev Forsamlingshus;Serritslev;Brønderslev Kommune;F1003810080.htm
810;1298255;702304;Stenum Kultur- og Forsamlingshus;Stenum;Brønderslev Kommune;F1003810034.htm
810;1298245;704006;Tagrenden;Klokkerholm;Brønderslev Kommune;F1003810006.htm
810;1298239;705646;Østsidehallen;Ø. Brønderslev;Brønderslev Kommune;F1003810050.htm
411;1276595;702974;Gæstgiveriet;Christiansø;Christiansø Kommune;F402411001.htm
155;1282782;706596;Dragør Skole;Dragør Skole Syd;Dragør Kommune;F112155001.htm
155;1282788;701922;Hollænderhallen;Hollænderhallen;Dragør Kommune;F112155004.htm
240;1300918;705206;Bækkegårdsskolen;Bækkegårdsskolen;Egedal Kommune;F305240009.htm
240;1300900;706424;Ganløse Hallen;Ganløse;Egedal Kommune;F305240005.htm
240;1300920;703642;Ledøje Forsamlingshus;Ledøje Forsamlingshus;Egedal Kommune;F305240001.htm
240;1300912;711116;Ledøje-Smørum Idrætscenter;Ledøje-Smørum Idrætscenter;Egedal Kommune;F305240002.htm
240;1300910;705194;Slagslunde Forsamlingshus;Slagslunde;Egedal Kommune;F305240006.htm
240;1300904;701864;Stengårdsskolen;Stengårdsskolen;Egedal Kommune;F305240008.htm
240;1300906;709714;Stenløse Hallen;Stenløse;Egedal Kommune;F305240003.htm
240;1300908;703648;Toftehøjskolen;Toftehøjskolen;Egedal Kommune;F305240007.htm
240;1300902;712198;Veksø Multihal;Veksø;Egedal Kommune;F305240004.htm
561;1290944;710374;Bakkeskolen Cosmos;Jerne;Esbjerg Kommune;F704561005.htm
561;1290980;702746;Boldesager Skole Cosmos (indgang Edelsvej);Boldesager;Esbjerg Kommune;F704561006.htm
561;1291004;703542;Bramming Kultur- og Fritidscenter;Bramming;Esbjerg Kommune;F705561025.htm
561;1289681;701840;Bryndum Skole Aura (Gymnastiksalen);Bryndum;Esbjerg Kommune;F705561012.htm
561;1302825;705826;Esbjerg Rådhus;Esbjerg Rådhus;Esbjerg Kommune;F704561002.htm
561;1289621;709664;Guldager Forsamlingshus;Guldager;Esbjerg Kommune;F705561017.htm
561;1290976;707864;Gørding Idræts- og Kulturcenter;Gørding;Esbjerg Kommune;F705561040.htm
561;1289657;712150;Hjerting Skole Aura (Indgang Plantagevej);Hjerting;Esbjerg Kommune;F705561016.htm
561;1290982;707876;Høm Forsamlingshus;Høm;Esbjerg Kommune;F705561038.htm
561;1290988;703586;Klithus Mandø;Mandø;Esbjerg Kommune;F705561035.htm
561;1291000;701812;Kongeåhallen;Gredstedbro;Esbjerg Kommune;F705561033.htm
561;1290986;707870;Kultur- og Aktivitetscenter;Egebæk-Hviding;Esbjerg Kommune;F705561032.htm
561;1290942;702740;Kvaglundhallen;Kvaglund;Esbjerg Kommune;F704561021.htm
561;1291002;703580;Ribe-Hallen;Ribe;Esbjerg Kommune;F705561028.htm
561;1290990;701204;Rørkjær Skole Urban;Rørkjær;Esbjerg Kommune;F704561004.htm
561;1289717;705174;Skads Skole Signatur (Gymnastiksalen);Skads;Esbjerg Kommune;F705561008.htm
561;1290741;708726;Skovbo Centeret (Indgang Gl Vardevej);Skovbo;Esbjerg Kommune;F704561003.htm
561;1290996;710398;"Studie 10; Esbjerg Ungdomsskole";Grønlandsparken;Esbjerg Kommune;F704561023.htm
561;1302823;704330;Sædding Fritidscenter;Sædding;Esbjerg Kommune;F704561015.htm
561;1289666;711090;Sønderrisskolen Aura (Sønderrishallen);Sønderris;Esbjerg Kommune;F705561024.htm
561;1290992;703522;Tjæreborg Skole Signatur;Tjæreborg;Esbjerg Kommune;F705561020.htm
561;1290998;708768;Vitaskolen Bohr (Bygning A);Gjesing;Esbjerg Kommune;F704561011.htm
561;1290984;702806;Østerbycentret;Østerbyen;Esbjerg Kommune;F704561007.htm
561;1290994;710368;Ådalskolen Bohr (Gymnastiksalen);Ådalen;Esbjerg Kommune;F704561022.htm
563;1278221;702962;Fanø-Hallen;Nordby;Fanø Kommune;F704563001.htm
563;1278514;710532;Sønderho Forsamlingshus;Sønderho;Fanø Kommune;F704563002.htm
710;1290616;706342;Farre Forsamlingshus;Hammel Syd;Favrskov Kommune;F808710005.htm
710;1290621;704336;Foldby Forsamlingshus;Foldby;Favrskov Kommune;F808710008.htm
710;1290641;712100;Hadsten Hallen;Hadsten Nord;Favrskov Kommune;F808710001.htm
710;1290629;709596;Haldum-Hinnerup Hallen;Haldum-Hinnerup/Vitten;Favrskov Kommune;F808710006.htm
710;1290623;706354;Hammel Idrætscenter;Hammel Nord;Favrskov Kommune;F808710004.htm
710;1290627;709610;HØST Hallen;Hadbjerg;Favrskov Kommune;F808710003.htm
710;1290633;707272;Lading Forsamlingshus;Lading;Favrskov Kommune;F808710014.htm
710;1290614;711048;Laurbjerg Hallen;Laurbjerg/Houlbjerg;Favrskov Kommune;F808710011.htm
710;1290631;705102;Rønbæk Idrætscenter;Rønbæk/Grundfør;Favrskov Kommune;F808710007.htm
710;1290625;711674;Søften Kultur- og Idrætscenter;Søften;Favrskov Kommune;F808710012.htm
710;1290635;707278;Tungelund Aktivitetscenter;Thorsø/Haurum/Sall;Favrskov Kommune;F808710010.htm
710;1290618;707834;Ulstruphallerne;Ulstrup;Favrskov Kommune;F808710009.htm
710;1290639;706360;Voldum Hallen;Voldum;Favrskov Kommune;F808710013.htm
710;1290643;711042;Østervangshallen;Hadsten Syd;Favrskov Kommune;F808710002.htm
320;1292091;707142;Dalby Hallen;Dalby;Faxe Kommune;F505320006.htm
